Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Css,MuRata,GRM033R71A822KA01D,1,0.01,2.08,Cap: 8.2 nF  Total Derated Cap: 8.2 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0201  
Ccomp2,Samsung Electro-Mechanics,CL21C100JBANNNC,1,0.01,6.75,Cap: 10 pF  Total Derated Cap: 10 pF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
U1,Texas Instruments,TPS54332DDAR,1,0.699,55.2,
Rfbb,Vishay-Dale,CRCW04021K96FKED,1,0.01,3,Resistance: 1.96 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cboot,MuRata,GRM155R71A104KA01D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
Cin,TDK,C3225X7R1H106M250AC,2,0.28,14.7,Cap: 10 µF  Total Derated Cap: 11 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
L1,TDK,VLP8040T-6R8M,1,0.22,113.42,L: 6.8 µH  DCR: 24 mΩ  IDC: 3.6 A  
Rfbt,Vishay-Dale,CRCW040210K2FKED,1,0.01,3,Resistance: 10.2 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cout,MuRata,GRM21BR61A226ME44L,3,0.13,6.75,Cap: 22 µF  Total Derated Cap: 31 µF  VDC: 10 V  ESR: 3 mΩ  Package: 0805  
D1,Fairchild Semiconductor,FSV360FP,1,0.1,13.16,Type: Schottky  VRRM: 60 V  Io: 3 A  
Ccomp,TDK,C2012C0G1H152J060AA,1,0.02,6.75,Cap: 1.5 nF  Total Derated Cap: 1.5 nF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
Rcomp,Vishay-Dale,CRCW040261K9FKED,1,0.01,3,Resistance: 61.9 kΩ  Tolerance: 1.0%  Power: 63 mW  